label,x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
A,0.454662,0.322224,0,0.483465,0.417906,-0.012623,0.544632,0.476782,-0.015036,0.604985,0.489718,-0.020067,0.649117,0.492564,-0.022727,0.589711,0.433005,0.003519,0.629526,0.444754,-0.027075,0.589484,0.430478,-0.04385,0.556761,0.420587,-0.04922,0.592851,0.38237,-0.001185,0.627791,0.394266,-0.03672,0.570607,0.388059,-0.048187,0.531898,0.381293,-0.047664,0.590869,0.334815,-0.010777,0.625886,0.344527,-0.046594,0.566607,0.345917,-0.043921,0.526121,0.343558,-0.031942,0.582943,0.284553,-0.021443,0.616465,0.294661,-0.045069,0.57785,0.302344,-0.042085,0.546101,0.305833,-0.033439
A,0.433117,0.451034,0,0.4716,0.529605,-0.014323,0.527156,0.573892,-0.018751,0.582037,0.584345,-0.02612,0.625712,0.599209,-0.031246,0.574414,0.539382,0.005607,0.60906,0.541427,-0.026,0.570656,0.528891,-0.045133,0.535273,0.521475,-0.051287,0.573153,0.489058,0.00291,0.602829,0.490909,-0.032254,0.551648,0.483613,-0.042796,0.511953,0.483563,-0.040611,0.566773,0.441688,-0.005308,0.593148,0.442702,-0.040416,0.542049,0.446334,-0.03653,0.50411,0.453206,-0.022637,0.554831,0.393317,-0.014785,0.58261,0.398185,-0.036503,0.547812,0.409851,-0.030874,0.520227,0.420339,-0.019285
A,0.432467,0.440944,0,0.468373,0.518703,-0.014675,0.52303,0.564264,-0.019076,0.577558,0.575531,-0.026153,0.621688,0.58246,-0.031248,0.569417,0.52767,0.002817,0.607287,0.527726,-0.028138,0.570295,0.512677,-0.047205,0.533603,0.505555,-0.053523,0.56797,0.476432,0.000315,0.60019,0.47432,-0.034437,0.549156,0.467893,-0.045185,0.507473,0.469153,-0.043634,0.561986,0.428939,-0.007529,0.59046,0.425004,-0.041356,0.539823,0.429933,-0.038923,0.500734,0.438749,-0.026888,0.551324,0.381154,-0.016683,0.580128,0.3794,-0.037774,0.546146,0.390668,-0.033822,0.517597,0.403408,-0.024261
A,0.430714,0.43836,0,0.466455,0.515768,-0.012541,0.520781,0.559312,-0.015028,0.574884,0.57078,-0.020773,0.619139,0.577556,-0.024596,0.567158,0.520781,0.00949,0.602159,0.524211,-0.020139,0.564988,0.511337,-0.03862,0.529721,0.504978,-0.044781,0.566183,0.472823,0.006294,0.597327,0.47357,-0.027109,0.547765,0.467679,-0.038349,0.508536,0.468219,-0.037226,0.5604,0.426732,-0.002422,0.589067,0.425039,-0.035793,0.538493,0.430469,-0.034068,0.500276,0.438616,-0.022475,0.54918,0.379407,-0.012302,0.57839,0.378408,-0.03337,0.54416,0.391697,-0.030101,0.514907,0.406012,-0.020932
A,0.422491,0.425156,0,0.457446,0.505725,-0.013727,0.509746,0.551848,-0.017948,0.565317,0.564312,-0.025117,0.610323,0.57183,-0.030639,0.556733,0.517897,0.004863,0.594871,0.518187,-0.026185,0.560535,0.504512,-0.046011,0.524731,0.497742,-0.052943,0.556806,0.467376,0.001924,0.589213,0.465962,-0.032463,0.540353,0.460452,-0.044156,0.499518,0.461207,-0.0436,0.551481,0.420143,-0.006335,0.580401,0.417569,-0.039944,0.531634,0.422319,-0.038197,0.493123,0.4297,-0.026831,0.54064,0.371613,-0.015902,0.571873,0.371807,-0.03711,0.538087,0.383863,-0.033603,0.508326,0.396937,-0.024427
A,0.418607,0.429271,0,0.456566,0.507715,-0.013161,0.509021,0.552497,-0.017452,0.562631,0.564197,-0.025296,0.608812,0.569121,-0.03135,0.555526,0.515679,0.006566,0.593457,0.518951,-0.026539,0.557775,0.507594,-0.047588,0.521717,0.500775,-0.054488,0.555171,0.467225,0.003041,0.585194,0.468882,-0.032574,0.535008,0.464032,-0.044453,0.49506,0.463709,-0.043504,0.549025,0.421021,-0.006123,0.577904,0.421529,-0.040486,0.528006,0.426243,-0.037574,0.489498,0.431691,-0.024863,0.537569,0.372854,-0.016705,0.569061,0.37433,-0.037992,0.536512,0.386979,-0.033565,0.508017,0.397956,-0.023304
A,0.421481,0.43143,0,0.455628,0.509046,-0.012645,0.507983,0.553285,-0.015769,0.561428,0.566074,-0.022171,0.605674,0.572204,-0.026835,0.554575,0.515516,0.007865,0.591079,0.520755,-0.02339,0.55551,0.509251,-0.043069,0.519883,0.502291,-0.049558,0.553922,0.467724,0.004647,0.584788,0.470381,-0.029584,0.534696,0.465087,-0.041058,0.495239,0.464618,-0.040048,0.54792,0.421356,-0.004076,0.576974,0.422722,-0.038279,0.526569,0.428221,-0.036219,0.488312,0.434338,-0.024145,0.536829,0.372935,-0.013941,0.567107,0.375217,-0.035519,0.533878,0.3894,-0.031959,0.50509,0.401804,-0.022415
A,0.421481,0.43143,0,0.455628,0.509046,-0.012645,0.507983,0.553285,-0.015769,0.561428,0.566074,-0.022171,0.605674,0.572204,-0.026835,0.554575,0.515516,0.007865,0.591079,0.520755,-0.02339,0.55551,0.509251,-0.043069,0.519883,0.502291,-0.049558,0.553922,0.467724,0.004647,0.584788,0.470381,-0.029584,0.534696,0.465087,-0.041058,0.495239,0.464618,-0.040048,0.54792,0.421356,-0.004076,0.576974,0.422722,-0.038279,0.526569,0.428221,-0.036219,0.488312,0.434338,-0.024145,0.536829,0.372935,-0.013941,0.567107,0.375217,-0.035519,0.533878,0.3894,-0.031959,0.50509,0.401804,-0.022415
A,0.419214,0.429866,0,0.456166,0.509705,-0.012509,0.508188,0.553487,-0.016277,0.562236,0.565028,-0.023468,0.60722,0.571655,-0.029037,0.554385,0.5186,0.007737,0.590123,0.520213,-0.023866,0.554883,0.507511,-0.044265,0.519418,0.500973,-0.051316,0.554428,0.469419,0.004301,0.583839,0.469216,-0.030448,0.5345,0.463181,-0.042249,0.494343,0.463851,-0.041444,0.548668,0.42264,-0.004591,0.57561,0.421933,-0.038746,0.526523,0.426555,-0.036482,0.488403,0.433679,-0.024306,0.537061,0.374287,-0.014705,0.566303,0.375983,-0.036115,0.532678,0.389127,-0.032097,0.503845,0.402247,-0.022205
A,0.416173,0.416538,0,0.454918,0.498274,-0.011093,0.510271,0.538727,-0.013522,0.56245,0.551367,-0.01991,0.605161,0.557115,-0.024536,0.553202,0.503191,0.012543,0.589076,0.509789,-0.01774,0.553785,0.499966,-0.038184,0.518992,0.492399,-0.045361,0.553272,0.456378,0.008217,0.583859,0.461218,-0.025341,0.536389,0.457911,-0.038473,0.496655,0.455515,-0.038561,0.547566,0.410196,-0.001656,0.573519,0.413251,-0.034374,0.526626,0.419073,-0.034085,0.488858,0.423181,-0.023299,0.536578,0.362903,-0.012764,0.563905,0.369172,-0.032578,0.53287,0.381374,-0.029459,0.504365,0.39059,-0.020535
